Name of press / initiative,Introduction,Year established,Location,Region,Geocoordinates,Link
OAZA Books,"OAZA BOOKS is an independent publisher focused on art, design, research, poetry, and illustration. Designed, edited, and curated by the OAZA Collective, the books reflect critical perspectives and collaborative practices. Editions include: oBook (art, design, research), aBook (artist collaborations – merging contemporary art practices with graphic design and publishing), Oaza&Sons (illustrated books for all ages), and Oaza&Friends (co-publishing projects). Each title merges contemporary practices with thoughtful editorial and design approaches. OAZA was founded in 2013 by six artists and designers — Nina Bačun, Ivana Borovnjak, Roberta Bratović, Tina Ivezić, Maja Kolar and Maša Poljanec. Since then, OAZA had been continuously involved in art and design research-based projects in the domain of the independent cultural sector, self-initiated projects (curatorial practices, art and design research, social design, strategic and conceptual design, publishing, design education)",2013,"Zagreb, Croatia",Europe,"45.8150, 15.9819",https://oazabooks.com/
Oficyna Peryferie,"Independent publishing house based in Poland, run by Michal Chojecki. Our studio is a workshop dedicated to silkscreen, RISO and bookbinding. We produce small editions of self-printed artbooks, zines and ariginal prints. We belive in print. Our deep faith in the self made books comes from the Second Circulation movement of the 1980s, when many people risked their freedom to make an independent and politicaly involved booklets and produce them in non-industrialized way.",,"Warsaw, Poland",Europe,"52.2297, 21.0122",
Opuntia Visual,"At Opuntia Visual, we believe that knowledge should be inclusive and accessible to all. As an independent artist and small publisher, our mission is to bridge the gap between science, culture, and art.  We are dedicated to sharing the wonders of science and culture through creative storytelling. Since 2016, Opuntia Visual has been committed to breaking down barriers of accessibility to complex concepts by presenting them in approachable and engaging ways. What began as a blog and series of infographics, has been expanded into producing zines and small publications, making science and culture more tangible and relatable to diverse audiences. We envision a world where there are no boundaries between science, culture, and art. Through our creative projects, we aim to bridge these different realms, mixing together scientific inquiry, cultural expression, and artistic interpretation. Our publications and multidisciplinary projects serve as bridges that connect diverse communities, offering pathways to understanding and appreciation of science and art. Through visually captivating creations, we want to spark curiosity, inspire learning, and promote critical thinking. Our project is about sharing knowledge and empowering communities, particularly those historically underserved or overlooked in scientific discourse. Founded by Annabel Romero, a woman of Latin American heritage, she brings a unique perspective to Opuntia Visual, drawing inspiration from her cultural roots and personal experiences. She is dedicated to amplifying underrepresented voices and uncovering untold stories within science and culture.",2016,"Mexico City, Mexico",Latin America,"19.4326, -99.1332",
Ornate Gesture,"Ornate Gesture is the small-press practice of Australian-based designer Ed Hubber. The imprint self-publishes zines and books that explore big ideas in small ways and take a cheeky look at design culture. They also share publications from emerging makers through Ornate Other – where a community of care through small-press is being built. Recent publications have explored the rental crisis through monopoly, giddiness of friendship through vintage cake images, and the recycling of symbols in visual culture by documenting a large collection of lobster artefacts.",,"Melbourne, Australia",Oceania,"-37.8136, 144.9631",https://www.ornategesture.com/
Other Editions,"Other Editions (OE) is an independent publishing initiative based in Helsinki, Finland. It specializes in book-format works that combine art, imagery, and contemporary visual languages to create new kinds of narratives. Initiated in 2017 by visual artist and former architect Lorenzo ""SERRAGLIA"" Servi, OE began as an alternative to traditional art exhibition spaces. Nowadays, SerraGlia uses books as the principal format for his works. Through OE, he conceptualizes, designs, curates, and produces art multiples, book series, and publications inspired by the ordinary, the banal, and the often-overlooked elements of city streetscapes. While many of the publications feature SerraGlia’s own work, OE also serves as a platform for collaboration, bringing together artists to explore and reinterpret urban narratives.",2017,"Helsinki, Finland",Europe,"60.1699, 24.9384",https://shop.serraglia.com/
Other Forms,"Other Forms develops new aesthetics and content for militant communication experiments. Other Forms Publishing criss-crosses the political economies of print-on-demand, offset lithography, and risograph printing. In every publication, Other Forms investigates the implicit mutuality and antagonisms of materials, aesthetics, and media, in the production of new forms of political communication.",,"Chicago, US",North America,"41.8832, -87.6324",https://otherforms.net/
Other People's Books,"Other People's Books is a growing collection of peculiar observations in the form of books. A group of software engineers discussing mathematical accuracies, an archive of individuals lost at sea since the 1970s, an old friend who frequently took smoke breaks, and the gradual lapses in memory from a cherished trip to Japan.",2024,Singapore,Southeast Asia,"1.3521, 103.8198",https://www.instagram.com/other.peoples.books/?hl=en
Outer Space Press,"Since 2016 artist duo Wysocka / Pogo have been working in the fields of artists’ books, research and archives and publishing their collaborative work through their Berlin based imprint Outer Space Press. Their archive based work revolves around collecting found books and photography, deconstructing and transforming images to create new visual narratives. The focus of their publishing practice is reinterpretation of a classic photobook through experimentation with printing, often deliberately working with imperfect processes. All of their titles are printed and hand bound by the artists.",2016,"Berlin, Germany",Europe,"52.5200, 13.4050",https://www.outerspacepress.com/shop
Pangolin,"Pangolin* is an artist run organisation working in film, visual art and research practices. Pangolin produces independent film, moving image installation and books,  as well as being involved with interdisciplinary and collaborative projets which investigate open production and research structures in theory and practice. Pangolin are Ana Hušman and Nicole Hewitt and Vida Guzmić and Luana Lojić.",,"Zagreb, Croatia",Europe,"45.8150, 15.9819",https://pangolin.hr/
Panther's Paw Publication,"My name is Yogesh Maitreya (Wanjari).I am a publisher at Panther's Paw Publication (henceforth PPP) which I have founded in 2016 from my hostel room while I was pursuing my PhD at Tata Institute of Social Sciences, Mumbai. PPP publishes authors from Dalit community which is the most marginalised and the most oppressed community in India. At PPP, I have published 14 books as of now with the support of crowd fund. These books are anti-caste stories (caste is the most cruelest and oldest systematic social structure). I have published translation from four Indian languages into English as well as original English writings by Dalit authors. At PPP, my vision behind publishing writings by Dalit authors is to visibalise the stories of the community which are historically and systematically erased from the public imagination.",2016,"Mumbai, India",South Asia,"18.9582, 72.8321",https://www.instagram.com/pantherspawpublication
Parking Lot Press,"Parking Lot Press, a Bangkok-based collective of four designers, is deeply immersed in print design. With shared enthusiasm, we collaborate on projects embodying our vision and showcasing our talents. Dedicated to print, from zines to magazines, we appreciate their charm. Embracing analog, we celebrate culture and craft. Believers in hands-on processes, we host zine-making workshops, encouraging exploration.",,"Bangkok, Thailand",Southeast Asia,"13.7563, 100.5018",https://www.instagram.com/parking.lot.press/
PASAJ,"PASAJ is an art initiative that runs an independent project space used for various purposes (exhibitions, performances, workshops, talks) in the field of contemporary arts. PASAJ focuses on social context, knowledge, and memory of the space as well as connecting with the local community. It aims to facilitate skills exchange and to establish an environment where artists encounter each other and other inhabitants in the area. PASAJ invites artists to build up site-specific projects in communication with its surroundings. PASAJ collaborates with local and international associations and the artists.",2010,"Istanbul, Turkey",Middle East,"41.0082, 28.9784",https://en.pasaj.org/
PEARS,PEARS is an Indonesian-based independent printed fashion magazine that aims to touch base on social issues through the lens of fashion and beauty. With PEARS we also want to celebrate undiscovered Indonesian creatives and introduce them to the global stage.,,"Jakarta, Indonesia",Southeast Asia,"-6.1944, 106.8229",https://pearsmag.com/
Pequeno Salvaje,"Pequeno Salvaje is an independent, self-managed artisanal publishing house that operates from Wallmapu, an ancestral Mapuche indigenous territory (currently the country Chile, South America). We focus on material experimentation in dialogue with the content of contemporary Mapuche artists and sexual dissidents, creating publications that amplify their voices and works. Pequeno Salvaje was founded in the city of Buenos Aires in 2016 by Mapuche filmmaker and photographer Kati Antivilo (ig:@_antikat) with the idea of ​​promoting the work of women, sexually dissident and indigenous artists, bodies and voices historically silenced by colonialism. We materialize books through artisanal and homemade production techniques. In each project we seek to design editorial pieces that represent and relate directly to the visual universe proposed by the guest authors for each publication. We like to play with different formats, papers, printing systems, binding forms and all the material possibilities that graphic creation offers.",2016,"Temuco, Araucanía, Chile",Latin America,"-38.7366, -72.5950",https://www.instagram.com/editorialpequenosalvaje
Perimeter Editions,"Perimeter Editions is the award-winning publishing imprint of Melbourne-based bookstore Perimeter Books and distribution house Perimeter Distribution. Releasing its first publication in 2012, Perimeter Editions’ focus rests on publishing autonomous books in close collaboration with photographers, artists, and writers. Its publications exhibit a criticality and sensitivity to content and form.",2012,"Melbourne, Australia",Oceania,"-37.8136, 144.9631",perimetereditions.com
"Printed Matter, Inc","Founded in 1976, Printed Matter, Inc. is the world’s leading non-profit organization dedicated to the dissemination, understanding and appreciation of artists’ books and related publications. Printed Matter works to distribute and promote artists’ books to bring an increased visibility and appreciation to the field. The range of publications stocked at the shop is a testament to our broad and all-inclusive understanding of the medium.",1976,"New York, US",North America,"40.7128, -74.0060",https://www.printedmatter.org/
PrivatePrint,"PrivatePrint is an interdisciplinary curatorial studio that builds a network culture through collaborations, events, residences, and publications. Since 2015, our work has been dedicated to opening space to culturally and socially emerging critical topics, non-institutional and alternative curatorial and art practices, critical design, and more. With interdisciplinarity and publishing as primary work methods, PrivatePrint brings together a spectrum of collaborators, including researchers, artists, activists, designers, cultural workers, and practitioners with diverse expertise. Founded by Ilija Prokopiev and Marija Hristova, PrivatePrint operates locally and internationally with bases in Skopje (North Macedonia) and Ljubljana (Slovenia).",2015,Skopje (North Macedonia) and Ljubljana (Slovenia),Europe,"41.9981, 21.4254",https://privateprint.mk/en
Proyecto Piranha,"Proyecto Piranha is a small risograph press and cultural programming project based in Buenos Aires, Argentina. Since 2016, we have focused on collaborating with Latin American visual artists and illustrators in the publication and distribution of their work.",,"Buenos Aires, Argentina",Latin America,"-34.6037, -58.3821",
Rab-Rab Press,"Rab-Rab Press is an independent publishing platform based in Helsinki. It publishes Rab-Rab: journal of political and formal inquiries in art and books combining experimental art and leftist politics with scholarly rigour and punk attitude. Initiated in 2014, Rab-Rab Press is run by Sezgin Boynik.",2014,"Helsinki, Finland",Europe,"60.1699, 24.9384",https://www.rabrab.net/
Radical theory and praxis,"Radical Theory and Practice began in 2010 as an informal network of volunteers who collectively translated books in their free time, and in early 2014 it transformed into a publishing cooperative in which relationships are built horizontally and decisions are made by consensus. By publishing books about the history of liberation movements, social and environmental initiatives, alternative economic models and political prisoners, we try to inspire activists to new achievements and push our society towards social transformation. Our goal is to disseminate information as widely as possible, not to make a profit, so after some time we make our books freely available.",2010,"Moscow, Russia",Europe,"55.7569, 37.6151",https://www.rtpbooks.info/product-category/books/
Raspberry Bow Press,"We are a small press located in Skagit Valley, Washington. A collaboration by Michelle Gale and Tim Hubner, with experience in editorial, book-making, and design, we publish books and zines focusing on regional authors and artists with an emphasis on women and food. We print some of our books in our studio using our Risograph GR3750. We also own a small bookstore in Edison, Washington. Book Shucker offers a carefully curated selection of books including cooking, fiction, nonfiction, small press and comics, and children’s. We prioritize carrying a diverse selection of authors and topics on our shelves and value building community through the cultural importance of books",,"Skagit Valley, US",North America,"48.4242, -121.7114",https://www.raspberrybowpress.com/
Refugee Art Project,"We support people of a refugee background through art workshops, exhibitions & zines in our studio",,"New South Wales, Australia",Oceania,"-31.2532, 146.9211",
Related Department,"Page Bureau 书局 is a self-publishing unit of RELATED DEPARTMENT 有关设计部门, which releases miscellaneous printed matter and digital files. RELATED DEPARTMENT 有关设计部门 is an independent graphic design practice based in Shanghai, working with a variety of design forms in response to shifting contexts of post-colonial and digital landscapes.",,"Shanghai, China",East Asia,"31.2304, 121.4737",www.related.design
Reliable Copy,"Reliable Copy is a publishing house and curatorial practice for works, projects, and writing by artists. Reliable Copy publishes books and documents, curates exhibitions and screenings, undertakes research projects, and hosts a wide variety of public programming. Reliable Copy is based in Bangalore, India, and was founded in 2018.",2018,"Bangalore, India",South Asia,"12.9629, 77.5775",https://reliablecopy.org/
Rim Books,"Rim Books is an artist run, artist/author focused publishing venture established in 1996 to produce and promote publications of photographic art, applied arts, art history and exhibition catalogues, that may not easily be taken on by more mainstream publishers. Their aim is to retain the original vision of the authors/artists, while providing support for editing, design and production to ensure enduring, high-quality publications, without the constraints of commercial agendas.",1996,"Auckland, New Zealand",Oceania,"-36.8509, 174.7645",https://www.rimbooks.com/wordpress/
Rooftop Press,Helsinki based publisher of bookworks and multiples. Exploring publishing as artistic practice and publications as space for contemporary art.,,"Helsinki, Finland",Europe,"60.1699, 24.9384",rooftoppress.fi
Rosie’s Disobedient Press,"Rosie’s Disobedient Press is an artist-led publishing project based in Glasgow which centres on writing from marginalised perspectives with a focus on queer, working class and feminist writers. The press is run by Lisette May Monroe and Adrien Howard and works directly with artists and writers to create unique projects on a small scale and across multiple forms, including online and printed publishing, writing, sound and live events. ",,"Glasgow, UK",Europe,"55.8617, -4.2583",https://rosiesdisobedient.press/
Set Margins',"Creatively applying the cultural politics of content, form, and style whilst critically dissecting these to spark literacy, Set Margins’ publications enforces the voices of marginalized cultural agendas. As a support structure, a platform for production, a network and publisher, Set Margins’ frames current impulses with particular focus for communication, forms of cooperation, and involved politics. Set Margins’ delivers critical experiences, discourse, and dialogue, steps up for liberties and builds critical community. Set Margins’ nourishes critical practices with a strong commitment to marginal voices.",2022,"Eindhoven, the Netherlands",Europe,"51.4231, 5.4623",https://www.setmargins.press/
Sharjah Art Foundation,"Sharjah Art Foundation is an advocate, catalyst and producer of contemporary art within the Emirate of Sharjah and the surrounding region, in dialogue with the international arts community. The Foundation advances an experimental and wide-ranging programmatic model that supports the production and presentation of contemporary art, preserves and celebrates the distinct culture of the region and encourages a shared understanding of the transformational role of art. The Foundation’s core initiatives include the long-running Sharjah Biennial, featuring contemporary artists from around the world; the annual March Meeting, a convening of international arts professionals and artists; grants and residencies for artists, curators and cultural producers; ambitious and experimental commissions and a range of travelling exhibitions and scholarly publications.",,"Sharjah, United Arab Emirates",Middle East,"25.3562, 55.4272",https://www.sharjahart.org/
Sheer Spite Press,"Sheer Spite Press was founded in 2024 in Tiohtià:ke / Montreal to publish and distribute useful, generous, personal, political, funny, heart-filled works.",2024,"Montreal, Canada",North America,"45.5019, -73.5674",https://sheerspite.ca/
Shortt Editions,"Shortt Editions creates books, prints and editions that play with, mock and appropriate cultural norms, authority and rules. The press works with a mixture of digital printing, Risograph printing and laser cutters to create unique works that manipulate the political that can be found in the everyday.",,"Gainesville, Florida, US",North America,"29.6520, -82.3250",https://www.shortteditions.com/
Sid Drmay,"Sid Drmay is an artist, maker and freelance journalist based in KW, ON. They have a deep passion for zines and run the Hamilton Zine Machine as well as KW Zinetopia. They work in paper, plants, bioplastic and zines.",,"Kitchener, Ontario, Canada",North America,"43.4186, -80.4728",https://www.sidneydrmay.com/
Slow Burn Books,"Slow Burn Books is an art book publisher and bookshop with a focus on Asia and its diaspora. Founded at the cusp of a global pandemic, Slow Burn Books launched at the NGV Melbourne Art Book Fair in 2020 and have since participated in abC Art Book Fair (China), Tokyo Art Book Fair (Japan) and PERMANENT Art Book Fair (Sydney). This small and passionate business is about connecting Melbourne’s creative communities with our regional neighbours, dedicated to making Asia-Pacific artist books and publications more accessible in Australia and vice versa. Slow Burn Books is co-founded by Nikki Lam and Scott Heinrich, who together share a passion for contemporary art, new media, design, architecture and everything in between. Nikki is a Hong Kong-born artist-curator and Scott is a designer, video director and creative producer. Together they report to Cibi, a ‘smol’ tabby cat who enjoys fabric hardcovers of art books and keeps our studio cat friendly at all times.",2020,"Melbourne, Australia",Oceania,"-37.8136, 144.9631",https://slowburn.com.au/
Smog Press,"Smog Press is an independent photobook publisher from Los Angeles, CA. It was started in 2021 under the idea of wanting to make photobooks with our friends and heroes in intimate edition runs.",2021,"Los Angeles, US",North America,"34.0549, -118.2426",https://smog-press.xyz/
Sore Sore’s Shelf,"Sore Sore’s Shelf is a Jakarta-based multidisciplinary platform that creates prints and publications as a materialisation of its desire to convey the self in relation to the natural world, from its rawest sentiments to the printed matter you hold in your hands. The beauty of human experience is that every one of us has our own stories, and Sore Sore’s Shelf believes that every one of them is worth sharing to the world.",,"Jakarta, Indonesia",Southeast Asia,"-6.1944, 106.8229",https://soresore.site/
SPIN collective,"SPIN is an artist and social justice collective with a passion for publishing. We focus on collective study as a liberating practice for building community through sharing resources, skills, materials, and knowledge. This archive emerges from the necessity to care for the work done by the collective. The hegemonic structures we move through don't give the resources to archive and maintain the knowledge we produce especially when this knowledge resists those structures. Archiving, collecting and making our tools public for others is a crucial form of contestation, care and sustainability.",,"Rotterdam, the Netherlands",Europe,"51.9244, 4.4777",https://spin.hotglue.me/?start_archive
Stay With Tuesday,"The studio was established in Shanghai in 2018. Creating While drinking tea. Created many series: “Waste”Story series; Honor Ancestor series; KongFu Tea series. And various creations: illustration; art toy; art installation; art zine…We don’t have a fixed style, we usually create art works in different ways, The presentation of the work is infinite.",2018,"Shanghai, China",East Asia,"31.2304, 121.4737",staywithtuesday.com
Suburbia Projects,"Suburbia Projects is an architecture books retailer and publisher based out in the suburbs of Petaling Jaya. Founded in 2020 by Ashran Bahari and Naadiya Hani, Suburbia Projects aims to fill the gaps in critical and meaningful publications in architecture with a strong focus on virtues and values over aesthetics.",2020,"Petaling Jaya, Malaysia",Southeast Asia,"3.1292, 101.6165",https://suburbiaprojects.com/
super professional press,"super professional press is an independent publishing collective in Brooklyn, NY. It publishes and features a rotating catalog of work by emerging artists in an effort to increase visibility and opportunity for anyone who wants to make zines and share them with others. With a specific focus on Risograph printing, we often make small editions of printed ephemera about oddities, humor, social justice, and pop culture in the areas of illustration, comics, photography, paper engineering, and graphic design.",,"New York, US",North America,"40.7128, -74.0060",https://superpropress.com/
SWALIF Publishing House ,"SWALIF Publishing House is an independent collective based in the UAE with the goal of providing Youth in the SWANA region an avenue through which they are able to propose, produce, and propel their work into actualized projects. SWALIF Collective intends to become the main platform where aspiring, emerging writers and artists come to explore their craft and showcase their work to the world. We hope to build community and connection amongst people through bringing together art and literature by publishing books/magazines, participating in galleries, hosting exhibitions, and facilitating conversations through social media and other mediums.",2021,"Dubai, United Arab Emirates",Middle East,"25.2048, 55.2708",https://swalif.store/
Tall Poppy Press,"We make books that are excellent, playful and affordable. All our books are by Australian artists, or collaborations between Australians and non-Australian artists. We make things somewhere between a coffee table book and a zine, we like imperfection, texture and things that feel unusual. We spend a lot of time thinking about scale, texture and making objects that delight. Tall Poppy Press operates on the lands of the Wurundjeri people of the Kulin Nation. We pay our respects to Elders past, present and emerging.",,"Kulin Nation, Australia",Oceania,"-32.6668, 118.1580",https://www.tallpoppypress.xyz/
Tara Books,"Tara Books is an independent publishing house started in 1994 by Gita Wolf. Over the years, she was joined by other creative friends who have helped Tara grow organically and in many directions. Since 2012, our home has been the Book Building in Chennai, South India. Apart from our office, it houses a bookstore, a gallery, and a residential space for visiting artists, authors and designers. We are a collective of writers, designers and book artisans who favour a non-hierarchical mode of functioning, informed by feminism and other movements for social justice. Our team at the office is currently 18 people.",1994,"Chennai, India",South Asia,"13.0843, 80,2705",https://tarabooks.com/
te editions,"te editions is a curatorial, editorial, and publishing collective operating in New York and Beijing, dedicated to exploring the intersection of art and the humanities. We examine historical and contemporary social landscapes through a diversified and microscopic lens, focusing on how cultures encounter, collapse, and transform each other within global cultural flows. In 2021, we launched the bilingual annual te magazine. Each issue draws inspiration from current events, developing a theme that encapsulates the thinking sparked by the moment. Researchers and creators from various fields are invited to contribute their work around a specific theme. In 2023, te editions was established. We consistently collaborate with research-driven artists, scholars, communities, and cultural organizations to produce physical publications together.",2023,"Beijing, China",East Asia,"39.9042, 116.4074",https://te-editions.com/
Tehran Zine,"Established in 2021 by Amir Moghtada and Saghi Parkhideh, Tehran Zine was founded to provide young Iranian artists with the opportunity to create and publish their own Zines. Tehran Zine aims to introduce this medium, which can simply be described as “Art in the form of a booklet,” to both Iranian artists and collectors at the same time. Tehran Zine publishes two issues per year: The Special Edition, Which is a Zine created by an invited artist, and The Young Artist Edition an edition featuring works by artists who have participated in Tehran Zine’s open calls and have been selected by a jury. The published Zine will be launched and distributed by Tehran Zine. At Tehran Zine, our goal has always been to create a space for Iranian artists to explore the world of Zines. In line with this mission, we have established a rich collection of artistic Zines by both Iranian and international artists under the title of “Tehran Zine Collection.” The Tehran Zine Collection is accessible to the public by appointment or during open visit sessions, allowing enthusiasts to view a diverse range of Zines up close and become familiar with different types of Zines and their publishers. Alongside this collection, the “Tehran Zine Library” has also been established, focusing on topics such as Zine production and publishing, educational books on bookbinding techniques, book-making, artistic printing, and limited edition publishing. This library is available to artists as a valuable resource.",2021,"Tehran, Iran",Middle East,"35.7219, 51.3347",https://tehranzine.com/
Temporary Press,"Temporary Press is a small publisher producing content around art and design in the form of artist books, critical texts, and everyday research, with an interest in incidental ideas and alternative practices. The press often relies on economical and improvisational design and production methods, often with a black-only Risograph and simple tools. Our books are distributed by Idea Books. The press is started by gideon-jamie, a design studio based in Singapore that develops critical responses through commissioned projects and independent work, in the form of writings, designs, and ad-hoc exhibitions and workshops. They also run Temporary Unit, an inconvenient bookshop and occasional exhibition space.",2018,Singapore,Southeast Asia,"1.3521, 103.8198",https://www.temporarypress.com/
Terminal Ediciones,"Based in Quito, Mexico City and New York, Terminal publishes books, zines and editions in collaboration with South American and Caribbean artists and curators. It's a platform exploring art within the diaspora, alternative visions of contemporary culture, resistance discourses, archives, manifestos and latinx politics, food, sound and memory.  During the COVID-19 pandemic, Terminal started the DistANSIAS project, an ever-growing series of free and downloadable ""documents"" by Latin American artists, activists and curators living in the continent as well as in the diaspora. Our books are in the collection of institutions like the New York City Public Library, the Centro for Puerto Rican Studies at Hunter College, Printed Matter and the Barcelona Museum of Contemporary Art (MACBA). Terminal founders / editors are Gabriela Valarezo and Jaime Nuñez del Arco.",,"Quito, Mexico City and New York",Latin America,"-0.2233, -78.5141",https://terminalediciones.com/
Thick Press,"Thick Press is a collaboration between two old friends, a social worker (Erin Segal) and a graphic designer (Julie Cho). Inspired by utopian organizations and feminist presses, we decided to start a publishing practice organized around collaboration and care. (Both of us felt frustrated by the ways capitalism infuses design and social work practice.) We wanted to make highly visual books that account for the complexities of doing care work in the context of late capitalism and interlocking forms of oppression. We publish zine-like booklets as well as heftier titles that we distribute from our website and through Small Press Distribution. Care-givers, justice-seekers, and community-builders often find ourselves in the thick of human experience. Yet so many of the texts we produce rely on the thin logic of Western medicine and mainstream social science! What might happen if we grounded more texts in the arts? In critical theories? In spirituality? In lived experience? What might happen if we paid more attention to medium, form, and design? We aspire to a practice that is loving, reflexive, playful, and collaborative. We worry about reproducing oppressive structures, but we’re not really that interested in critique. Above all, we want to make unusual books with others. Inspired by artists’ books and zines, Thick Press publishes books that cross genres and disciplines. All our books relate to working or living in the thick of human experience.",,"Washington DC, US",North America,"38.9072, -77.0369",https://thickpress.com/
Tofu Stand,"Tofu Stand is a Berlin-based Chinese artivism collective, founded in 2024 by Chinese activists/culture practitioners who moved to Berlin from mainland China.Inspired by the early 20th-century Chinese anarchist revolutionaries in Paris who opened tofu factories as revolutionary infrastructure, Tofu Stand continues this lineage in a different time and place. Tofu Library brings together a collection of self-published books and zines from mainland China and beyond.Tofu Assemble (Events) hosts self-organised assemblies to challenge the existing modes of cultural production–consumption, and to better understand the common struggles of exiled communities in Europe.Tofu Project initiates individual and collective, short-term and long-term artivistic projects. Tofulogy, the publishing imprint of Tofu Stand, focuses on international solidarity from the situated perspectives of Chinese activists. The publications move between historical archives and the oppressive structures of the present, between fiction and non-fiction, cross historical times, geographies and communities, tracing the cracks where voices can emerge. Through this publication practice, we try to explore how different communities, from within their own positions and struggles, might carve out spaces of empathy and solidarity. Tofu Stand is a stand for self-publishing, an infrastructure for self-organising, and an attempt to bridge something in the in-betweenness. Tofu stands with Palestinians and all the oppressed, against both Western and non-Western imperial powers through creative practices.",2024,"Berlin, Germany",Europe,"52.5200, 13.4050",https://tofustand.com/
Triple Ampersand &&& Journal,"&&& Publishing is an independent purveyor of theoretically informed, publicly engaged publications, circumventing academic/popular distinctions in order to open up a more accessible platform for public intellectual practice. As the publishing platform operated by The New Centre for Research & Practice, our aim is to shape new forms of knowledge production and circulation within and against both past and present modes of intellectual production, distribution, consumption.",,"Jersey City, US",North America,"40.7195, -74.0430",https://tripleampersand.org/
Trolley Books,"Founded in 2001, Trolley Books is an independent publisher who, for nearly 25 years, has presented unique and, often, untold stories through a lot of photography, some art, and a few words.",2001,"London, UK",Europe,"51.5072, -0.1276",https://trolleybooks.com/
Troublemakers Publishing,Troublemakers Publishing is a Tokyo-based publishing studio that tells stories of misfits.,,"Tokyo, Japan",East Asia,"35.6764, 139.6500",https://troublemakers.me/
Ugly Duckling Presse,"Ugly Duckling Presse is a nonprofit publisher for poetry, translation, experimental nonfiction, performance texts, and books by artists. Through the efforts of a volunteer editorial collective, UDP has published more than 400 titles to date, and produced uncounted prints and ephemera. Our publications have been recipients of the Lambda Literary Award, the Whiting Award, the Pushcart Prize, the Big Other Book Award, the Bisexual Book Award, the Firecracker Award, the Anna Rabinowitz Award, the Best Translated Book Award, and the PEN Award for Poetry in Translation. UDP favors emerging, international, and “forgotten” writers, and its books, chapbooks, artist’s books, broadsides, and periodicals often contain handmade elements, calling attention to the labor and history of bookmaking. UDP is committed to keeping its publications in circulation with our online archive of out-of-print chapbooks and our digital proofs program. In all of its activities, UDP endeavors to create an experience of art free of expectation, coercion, and utility.",2006,"New York, US",North America,"40.7128, -74.0060",https://uglyducklingpresse.org/
Varikina Studio,"Varikina Studio is micro experimental publishing studio based in Belgrade, Serbia.",,"Belgrade, Serbia",Europe,"44.8125, 20.4612",https://varikinastudio.bigcartel.com/
Vănguard,"Vănguard was established in 2014 as an underground transnational zine connecting and uplifting LGBTQ+ Vietnamese creatives around the world through art, literature, and activism.",2014,"Saigon, Vietnam",Southeast Asia,"10.8231, 106.6297",https://www.vanguardzine.com/
Voices Undrowned Collective,"A community-rooted project amplifying the voices of those too often unheard. We are looking for work by marginalised creators—BIPOC, trans*, queer, disabled, refugees and immigrants, and the working class, who speak from the edges, the intersections, and the in-betweens.",,"Berlin, Germany",Europe,"52.5200, 13.4050",https://www.instagram.com/voices.undrowned/?hl=en
WAITHOOD Magazine,"WAITHOOD Magazine is a periodical that foregrounds emerging young contemporary African artists and fugitive epistemologies to comprehend the complexities of the human experience through a maroonage perspective. The publication explores the intersection between contemporary art, the urban landscape, and the youth experience in an Africa context, to offer multiple readings of the present condition, considering not only distorted notion of past but also the role of silences, memory and nostalgia in comprehending the Black experience. The magazine is interested in contemplating imaginative processes of Black artists, writers, thinkers and makers, paying special attention to how this engage with the urban landscape to craft a future otherwise. Our curatorial practice is oriented by the desire of realising the required labour to give birth to a liberated futures.",,"Maputo, Mozambique",Africa,"-25.9692, 32.5732",https://www.waithoodmagazine.com/
WARAQ,"WARAQ is an artist-led non profit organization based in Beirut, Lebanon. Founded in 2012, it is committed to the support of graphic art practices through education, research, production and publishing. Waraq has emerged over the past decade as an artist-led non-profit that redefines art publishing amid a profound cultural crisis. By merging innovative production techniques with community-driven initiatives, Waraq not only challenges traditional publishing but also creates economic opportunities, artistic empowerment, and cultural dialogue. This plan presents a roadmap for approaching larger-scale funding to expand Waraq’s unique initiatives—most notably the TABAAN! publishing platform and the Risograph Printing Facility—while amplifying its transformative impact locally and regionally. Waraq is committed to transforming the notion of publishing by integrating creative experimentation with community engagement. Its mission is to provide a platform for underrepresented voices, redefining cultural narratives in Lebanon and throughout the Arab region. By acting as both a production hub and a creative incubator, Waraq serves as a “third space” that bridges gaps between traditional artistic practices and innovative, process-driven works. The proceeds from the sales of this collection goes towards supporting our next collection of printed and digital material in collaboration with different artists, in addition to funding our Riso printing facility.",2012,"Beirut, Lebanon",Middle East,"33.8938, 35.5018",https://www.instagram.com/waraq_org/
Water with Water,"Water with Water is an experimental publishing project and visual research studio based in Doha, Qatar. We create limited-edition books, ephemera, and apparel that remix vernacular aesthetics and historical references into bold, layered visuals. Our work moves between the Gulf and global artist book scenes, blending graphic experimentation with cultural storytelling. ",2020,"Doha, Qatar",Middle East,"25.2854, 51.5310",https://waterwithwater.com/
